#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
810,Grookey,Grass,,310,50,65,50,40,40,65
811,Thwackey,Grass,,420,70,85,70,55,60,80
812,Rillaboom,Grass,,530,100,125,90,60,70,85
813,Scorbunny,Fire,,310,50,71,40,40,40,69
814,Raboot,Fire,,420,65,86,60,55,55,94
815,Cinderace,Fire,,530,80,116,75,65,75,119
816,Sobble,Water,,310,50,40,40,70,40,65
817,Drizzile,Water,,420,65,60,55,95,55,90
818,Inteleon,Water,,530,70,85,65,125,65,120
819,Skwovet,Normal,,275,70,55,55,35,35,25
820,Greedent,Normal,,460,120,95,95,55,75,20
821,Rookidee,Flying,,245,38,47,35,33,35,57
822,Corvisquire,Flying,,365,68,67,55,43,55,77
823,Corviknight,Flying,Steel,495,98,87,105,53,85,67
824,Blipbug,Bug,,180,25,20,20,25,45,45
825,Dottler,Bug,Psychic,335,50,35,80,50,90,30
826,Orbeetle,Bug,Psychic,505,60,45,110,80,120,90
827,Nickit,Dark,,245,40,28,28,47,52,50
828,Thievul,Dark,,455,70,58,58,87,92,90
829,Gossifleur,Grass,,280,40,40,60,40,60,40
830,Eldegoss,Grass,,460,60,50,90,80,120,60
831,Wooloo,Normal,,270,42,40,55,40,45,48
832,Dubwool,Normal,,490,72,80,100,60,90,88
833,Chewtle,Water,,284,50,64,50,38,38,44
834,Drednaw,Water,Rock,485,90,115,90,48,68,74
835,Yamper,Electric,,270,59,45,50,40,50,26
836,Boltund,Electric,,490,69,90,60,90,60,121
837,Rolycoly,Rock,,240,30,40,50,40,50,30
838,Carkol,Rock,Fire,410,80,60,90,60,70,50
839,Coalossal,Rock,Fire,510,110,80,120,80,90,30
840,Applin,Grass,Dragon,260,40,40,80,40,40,20
841,Flapple,Grass,Dragon,485,70,110,80,95,60,70
842,Appletun,Grass,Dragon,485,110,85,80,100,80,30
843,Silicobra,Ground,,315,52,57,75,35,50,46
844,Sandaconda,Ground,,510,72,107,125,65,70,71
845,Cramorant,Flying,Water,475,70,85,55,85,95,85
846,Arrokuda,Water,,280,41,63,40,40,30,66
847,Barraskewda,Water,,490,61,123,60,60,50,136
848,Toxel,Electric,Poison,242,40,38,35,54,35,40
849,Toxtricity,Electric,Poison,502,75,98,70,114,70,75
850,Sizzlipede,Fire,Bug,305,50,65,45,50,50,45
851,Centiskorch,Fire,Bug,525,100,115,65,90,90,65
852,Clobbopus,Fighting,,305,50,68,60,50,50,27
853,Grapploct,Fighting,,480,80,118,90,70,80,42
854,Sinistea,Ghost,,308,40,45,45,74,54,50
855,Polteageist,Ghost,,508,60,65,65,134,114,70
856,Hatenna,Psychic,,265,42,30,45,56,53,39
857,Hattrem,Psychic,,370,57,40,65,86,73,49
858,Hatterene,Psychic,Fairy,510,57,90,95,136,103,29
859,Impidimp,Dark,Fairy,265,45,45,30,55,40,50
860,Morgrem,Dark,Fairy,370,65,60,45,75,55,70
861,Grimmsnarl,Dark,Fairy,510,95,120,65,95,75,60
862,Obstagoon,Dark,Normal,520,93,90,101,60,81,95
863,Perrserker,Steel,,440,70,110,100,50,60,50
864,Cursola,Ghost,,510,60,95,50,145,130,30
865,Sirfetch'd,Fighting,,507,62,135,95,68,82,65
866,Mr. Rime,Ice,Psychic,520,80,85,75,110,100,70
867,Runerigus,Ground,Ghost,483,58,95,145,50,105,30
868,Milcery,Fairy,,270,45,35,40,50,61,34
869,Alcremie,Fairy,,495,65,60,75,110,121,64
870,Falinks,Fighting,,470,65,100,100,70,60,75
871,Pincurchin,Electric,,435,48,101,95,91,85,15
872,Snom,Ice,Bug,185,30,25,35,45,30,20
873,Frosmoth,Ice,Bug,475,70,65,60,125,90,65
874,Stonjourner,Rock,,470,100,125,135,20,20,70
875,Eiscue,Ice,,470,75,80,110,65,90,50
876,Indeedee,Psychic,Normal,475,60,65,55,105,95,95
877,Morpeko,Electric,Dark,436,58,95,58,70,58,97
878,Cufant,Steel,,330,72,80,49,40,49,40
879,Copperajah,Steel,,500,122,130,69,80,69,30
880,Dracozolt,Electric,Dragon,505,90,100,90,80,70,75
881,Arctozolt,Electric,Ice,505,90,100,90,90,80,55
882,Dracovish,Water,Dragon,505,90,90,100,70,80,75
883,Arctovish,Water,Ice,505,90,90,100,80,90,55
884,Duraludon,Steel,Dragon,535,70,95,115,120,50,85
885,Dreepy,Dragon,Ghost,270,28,60,30,40,30,82
886,Drakloak,Dragon,Ghost,410,68,80,50,60,50,102
887,Dragapult,Dragon,Ghost,600,88,120,75,100,75,142
888,Zacian,Fairy,,670,92,130,115,80,115,138
889,Zamazenta,Fighting,,670,92,130,115,80,115,138
890,Eternatus,Poison,Dragon,690,140,85,95,145,95,130
891,Kubfu,Fighting,,385,60,90,60,53,50,72
892,Urshifu,Fighting,Dark,550,100,130,100,63,60,97
893,Zarude,Dark,Grass,600,105,120,105,70,95,105
894,Regieleki,Electric,,580,80,100,50,100,50,200
895,Regidrago,Dragon,,580,200,100,50,100,50,80
896,Glastrier,Ice,,580,100,145,130,65,110,30
897,Spectrier,Ghost,,580,100,65,60,145,80,130
898,Calyrex,Psychic,Grass,500,100,80,80,80,80,80
