#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
722,Rowlet,Grass,Flying,320,68,55,55,50,50,42
723,Dartrix,Grass,Flying,420,78,75,75,70,70,52
724,Decidueye,Grass,Ghost,530,78,107,75,100,100,70
725,Litten,Fire,,320,45,65,40,60,40,70
726,Torracat,Fire,,420,65,85,50,80,50,90
727,Incineroar,Fire,Dark,530,95,115,90,80,90,60
728,Popplio,Water,,320,50,54,54,66,56,40
729,Brionne,Water,,420,60,69,69,91,81,50
730,Primarina,Water,Fairy,530,80,74,74,126,116,60
731,Pikipek,Normal,Flying,265,35,75,30,30,30,65
732,Trumbeak,Normal,Flying,355,55,85,50,40,50,75
733,Toucannon,Normal,Flying,485,80,120,75,75,75,60
734,Yungoos,Normal,,253,48,70,30,30,30,45
735,Gumshoos,Normal,,418,88,110,60,55,60,45
736,Grubbin,Bug,,300,47,62,45,55,45,46
737,Charjabug,Bug,Electric,400,57,82,95,55,75,36
738,Vikavolt,Bug,Electric,500,77,70,90,145,75,43
739,Crabrawler,Fighting,,300,47,82,57,42,47,63
740,Crabominable,Fighting,Ice,478,97,132,77,62,67,43
741,Oricorio,Electric,Flying,476,75,70,70,98,70,93
742,Cutiefly,Bug,Fairy,304,40,45,40,55,40,84
743,Ribombee,Bug,Fairy,464,60,55,60,95,70,124
744,Rockruff,Rock,,280,45,65,40,30,40,60
745,Lycanroc,Rock,,487,75,115,65,55,65,112
746,Wishiwashi,Water,,175,45,20,20,25,25,40
747,Mareanie,Poison,Water,305,50,53,62,43,52,45
748,Toxapex,Poison,Water,495,50,63,152,53,142,35
749,Mudbray,Ground,,385,70,100,70,45,55,45
750,Mudsdale,Ground,,500,100,125,100,55,85,35
751,Dewpider,Water,Bug,269,38,40,52,40,72,27
752,Araquanid,Water,Bug,454,68,70,92,50,132,42
753,Fomantis,Grass,,275,40,55,35,50,35,35
754,Lurantis,Grass,,480,70,105,90,80,90,45
755,Morelull,Grass,Fairy,285,40,35,55,65,75,15
756,Shiinotic,Grass,Fairy,405,60,45,80,90,100,30
757,Salandit,Poison,Fire,320,48,44,40,71,40,77
758,Salazzle,Poison,Fire,480,68,64,60,111,60,117
759,Stufful,Normal,Fighting,340,70,75,50,45,50,50
760,Bewear,Normal,Fighting,500,120,125,80,55,60,60
761,Bounsweet,Grass,,210,42,30,38,30,38,32
762,Steenee,Grass,,290,52,40,48,40,48,62
763,Tsareena,Grass,,510,72,120,98,50,98,72
764,Comfey,Fairy,,485,51,52,90,82,110,100
765,Oranguru,Normal,Psychic,490,90,60,80,90,110,60
766,Passimian,Fighting,,490,100,120,90,40,60,80
767,Wimpod,Bug,Water,230,25,35,40,20,30,80
768,Golisopod,Bug,Water,530,75,125,140,60,90,40
769,Sandygast,Ghost,Ground,320,55,55,80,70,45,15
770,Palossand,Ghost,Ground,480,85,75,110,100,75,35
771,Pyukumuku,Water,,410,55,60,130,30,130,5
772,Type: Null,Normal,,534,95,95,95,95,95,59
773,Silvally,Normal,,570,95,95,95,95,95,95
774,Minior,Rock,Flying,440,60,60,100,60,100,60
775,Komala,Normal,,480,65,115,65,75,95,65
776,Turtonator,Fire,Dragon,485,60,78,135,91,85,36
777,Togedemaru,Electric,Steel,435,65,98,63,40,73,96
778,Mimikyu,Ghost,Fairy,476,55,90,80,50,105,96
779,Bruxish,Water,Psychic,475,68,105,70,70,70,92
780,Drampa,Normal,Dragon,485,78,60,85,135,91,36
781,Dhelmise,Ghost,Grass,517,70,131,100,86,90,40
782,Jangmo-o,Dragon,,300,45,55,65,45,45,45
783,Hakamo-o,Dragon,Fighting,420,55,75,90,65,70,65
784,Kommo-o,Dragon,Fighting,600,75,110,125,100,105,85
785,Tapu Koko,Electric,Fairy,570,70,115,85,95,75,130
786,Tapu Lele,Psychic,Fairy,570,70,85,75,130,115,95
787,Tapu Bulu,Grass,Fairy,570,70,130,115,85,95,75
788,Tapu Fini,Water,Fairy,570,70,75,115,95,130,85
789,Cosmog,Psychic,,200,43,29,31,29,31,37
790,Cosmoem,Psychic,,400,43,29,131,29,131,37
791,Solgaleo,Psychic,Steel,680,137,137,107,113,89,97
792,Lunala,Psychic,Ghost,680,137,113,89,137,107,97
793,Nihilego,Rock,Poison,570,109,53,47,127,131,103
794,Buzzwole,Bug,Fighting,570,107,139,139,53,53,79
795,Pheromosa,Bug,Fighting,570,71,137,37,137,37,151
796,Xurkitree,Electric,,570,83,89,71,173,71,83
797,Celesteela,Steel,Flying,570,97,101,103,101,101,61
798,Kartana,Grass,Steel,570,59,181,131,59,31,109
799,Guzzlord,Dark,Dragon,570,223,101,53,97,53,43
800,Necrozma,Psychic,,600,97,107,101,127,89,79
801,Magearna,Steel,Fairy,600,80,95,115,130,115,65
802,Marshadow,Fighting,Ghost,600,90,125,80,90,90,125
803,Poipole,Poison,,420,67,73,67,73,67,73
804,Naganadel,Poison,Dragon,540,73,73,73,127,73,121
805,Stakataka,Rock,Steel,570,61,131,211,53,101,13
806,Blacephalon,Fire,Ghost,570,53,127,53,151,79,107
807,Zeraora,Electric,,600,88,112,75,102,80,143
808,Meltan,Steel,,300,46,65,65,55,35,34
809,Melmetal,Steel,,600,135,143,143,80,90,34
